system.diskio.iostat.await,system.diskio.iostat.queue.avg_size,system.diskio.iostat.read.per_sec.bytes,system.diskio.iostat.write.per_sec.bytes,scenario,type,timestamp,anomaly
4.698,0.007,0.0,10000,0,0,2018-01-01 03:17:00,0
8.822,0.016,0.0,60251,0,0,2018-01-01 03:18:00,0
9.194,0.021,0.0,109158,0,0,2018-01-01 03:19:00,0
7.78,0.014,1273.0,58902,0,0,2018-01-01 03:20:00,0
4.916,0.011,0.0,15058,0,0,2018-01-01 03:21:00,0
43.883,0.101,274.095,61497,0,0,2018-01-01 03:22:00,0
9.208,0.015,685.925,81119,0,0,2018-01-01 03:23:00,0
7.504,0.016,0.0,14440,0,0,2018-01-01 03:24:00,0
34.731,0.061,0.0,44059,0,0,2018-01-01 03:25:00,0
28.746,0.057,0.0,73797,0,0,2018-01-01 03:26:00,0
47.757,0.092,0.0,59157,0,0,2018-01-01 03:27:00,0
7.238,0.013,0.0,58808,0,0,2018-01-01 03:28:00,0
8.268,0.023,686.471,41430,0,0,2018-01-01 03:29:00,0
22.877,0.044,411.555,109520,0,0,2018-01-01 03:30:00,0
4.7,0.009,274.6,38079,0,0,2018-01-01 03:31:00,0
6.931,0.012,0.0,35326,0,0,2018-01-01 03:32:00,0
23.723,0.04,0.0,107230,0,0,2018-01-01 03:33:00,0
5.946,0.011,0.0,61373,0,0,2018-01-01 03:34:00,0
10.418,0.016,0.0,10403,0,0,2018-01-01 03:35:00,0
11.771,0.021,0.0,60394,0,0,2018-01-01 03:36:00,0
9.0,0.017,0.0,100126,0,0,2018-01-01 03:37:00,0
43.309,0.059,0.0,10381,0,0,2018-01-01 03:38:00,0
25.089,0.066,0.0,66845,0,0,2018-01-01 03:39:00,0
22.036,0.041,0.0,62833,0,0,2018-01-01 03:40:00,0
18.194,0.028,481.963,53051,0,0,2018-01-01 03:41:00,0
57.319,0.09,0.0,34130,0,0,2018-01-01 03:42:00,0
38.682,0.057,0.0,56743,0,0,2018-01-01 03:43:00,0
5.283,0.014,0.0,88081,0,0,2018-01-01 03:44:00,0
25.429,0.048,0.0,60680,0,0,2018-01-01 03:45:00,0
9.719,0.019,0.0,15158,0,0,2018-01-01 03:46:00,0
6.211,0.012,549.937,86800,0,0,2018-01-01 03:47:00,0
6.757,0.012,0.0,57788,0,0,2018-01-01 03:48:00,0
13.098,0.022,0.0,59031,0,0,2018-01-01 03:49:00,0
31.695,0.056,0.0,60296,0,0,2018-01-01 03:50:00,0
6.542,0.012,0.0,60849,0,0,2018-01-01 03:51:00,0
4.638,0.007,0.0,54746,0,0,2018-01-01 03:52:00,0
11.086,0.02,0.0,55806,0,0,2018-01-01 03:53:00,0
7.38,0.018,274.75,34478,0,0,2018-01-01 03:54:00,0
7.933,0.016,1140.0,77851,0,0,2018-01-01 03:55:00,0
6.387,0.013,0.0,14150,0,0,2018-01-01 03:56:00,0
6.361,0.009,0.0,46435,0,0,2018-01-01 03:57:00,0
8.035,0.016,274.969,80557,0,0,2018-01-01 03:58:00,0
44.591,0.112,1880.0,64110,0,0,2018-01-01 03:59:00,0
6.881,0.014,480.308,59167,0,0,2018-01-01 04:00:00,0
19.453,0.045,274.496,64067,0,0,2018-01-01 04:01:00,0
9.556,0.017,137.484,60149,0,0,2018-01-01 04:02:00,0
7.551,0.011,0.0,57212,0,0,2018-01-01 04:03:00,0
12.806,0.029,343.408,61237,0,0,2018-01-01 04:04:00,0
7.077,0.012,0.0,60007,0,0,2018-01-01 04:05:00,0
6.374,0.01,0.0,58865,0,0,2018-01-01 04:06:00,0
10.51,0.018,137.139,56650,0,0,2018-01-01 04:07:00,0
24.523,0.044,0.0,57792,0,0,2018-01-01 04:08:00,0
6.489,0.015,137.087,57231,0,0,2018-01-01 04:09:00,0
21.287,0.031,1879.0,40996,0,0,2018-01-01 04:10:00,0
13.321,0.024,618.42,45093,0,0,2018-01-01 04:11:00,0
6.921,0.015,3763.0,48511,0,0,2018-01-01 04:12:00,0
19.373,0.033,342.805,54701,0,0,2018-01-01 04:13:00,0
8.177,0.015,0.0,60514,0,0,2018-01-01 04:14:00,0
30.468,0.072,755.15,62080,0,0,2018-01-01 04:15:00,0
6.912,0.013,274.945,84846,0,0,2018-01-01 04:16:00,0
7.617,0.015,684.864,37387,0,0,2018-01-01 04:17:00,0
6.614,0.011,1208.0,58442,0,0,2018-01-01 04:18:00,0
17.818,0.039,3084.0,62209,0,0,2018-01-01 04:19:00,0
7.719,0.015,1674.0,58932,0,0,2018-01-01 04:20:00,0
10.871,0.015,2876.0,56990,0,0,2018-01-01 04:21:00,0
34.647,0.081,1138.0,61605,0,0,2018-01-01 04:22:00,0
10.578,0.024,137.704,60514,0,0,2018-01-01 04:23:00,0
19.324,0.046,1473.0,59440,0,0,2018-01-01 04:24:00,0
8.667,0.012,891.926,42680,0,0,2018-01-01 04:25:00,0
22.642,0.04,206.547,44779,0,0,2018-01-01 04:26:00,0
6.233,0.013,275.119,65556,0,0,2018-01-01 04:27:00,0
5.238,0.007,0.0,10182,0,0,2018-01-01 04:28:00,0
8.357,0.024,2616.0,84253,0,0,2018-01-01 04:29:00,0
8.838,0.016,0.0,82471,0,0,2018-01-01 04:30:00,0
7.694,0.02,0.0,66798,0,0,2018-01-01 04:31:00,0
6.147,0.01,0.0,9732,0,0,2018-01-01 04:32:00,0
8.093,0.012,0.0,58200,0,0,2018-01-01 04:33:00,0
9.855,0.023,0.0,109760,0,0,2018-01-01 04:34:00,0
7.391,0.011,342.475,10301,0,0,2018-01-01 04:35:00,0
18.101,0.03,1277.0,59190,0,0,2018-01-01 04:36:00,0
8.079,0.014,0.0,106962,0,0,2018-01-01 04:37:00,0
8.98,0.015,3750.0,55239,0,0,2018-01-01 04:38:00,0
9.921,0.025,1544.0,14301,0,0,2018-01-01 04:39:00,0
23.486,0.043,2274.0,57375,0,0,2018-01-01 04:40:00,0
7.279,0.014,68.728,80540,0,0,2018-01-01 04:41:00,0
7.537,0.012,2145.0,10320,0,0,2018-01-01 04:42:00,0
8.185,0.015,889.542,44838,0,0,2018-01-01 04:43:00,0
10.145,0.023,274.911,76446,0,0,2018-01-01 04:44:00,0
13.04,0.033,480.127,86340,0,0,2018-01-01 04:45:00,0
5.769,0.01,0.0,12075,0,0,2018-01-01 04:46:00,0
9.16,0.015,2281.0,59515,0,0,2018-01-01 04:47:00,0
26.173,0.056,206.486,109225,0,0,2018-01-01 04:48:00,0
33.419,0.096,1678.0,82614,0,0,2018-01-01 04:49:00,0
4.216,0.005,0.0,8983,0,0,2018-01-01 04:50:00,0
37.261,0.069,0.0,59667,0,0,2018-01-01 04:51:00,0
10.796,0.02,273.911,108000,0,0,2018-01-01 04:52:00,0
9.701,0.014,0.0,10249,0,0,2018-01-01 04:53:00,0
7.066,0.016,68.811,62428,0,0,2018-01-01 04:54:00,0
